Mensahe di Pasco di Gobernador di Aruba 2019	Governor’s Christmas speech 2019
Lo no tin mas prolongacion di termino	After this date extension is no longer possible
Departamento di Impuesto ta haci un apelacion na su clientenan pa tene bon cuenta cu e fecha final di 9 di december próximo y no warda te na ultimo pa entrega e declaracion	The Tax Office appeals to its customers to take into account the deadline of December 9, 2019, and not wait until the last moment to submit the tax return form
Ademas pa medio di e declaracion, e cliente ta haya e oportunidad pa haci uzo di su derecho di deduci su gastonan	The income statement allows the customer to exercise his right to deduct certain expenses
Ley di prohibicion di articulonan di plastic di un solo uzo como tambe Styrofoam y Oxybenzone	Single use plastic, the use of Styrofoam and Oxybenzone prohibited
Riba diamars 19 di november 2019 e ley di prohibicion di articulonan di plastic di un solo uzo como tambe Styrofoam y Oxybenzone a pasa unanimamente den Parlamento	On November 19, 2019, the Parliament of Aruba unanimously approved the law prohibiting the use of single use plastic, as well as the use of Styrofoam and Oxybenzone
E ley aki ta conforme e metanan di Nacionan Uni encuanto Dearoyo Sostenibel	This law is accordant with the UN’s Sustainable Development Goals
Conforme un Landsbesluit cu lo mester finalisa prome cu 2020, lo prohibi e productonan di mas basico cu ta perhudica den den cantidad grandi, nos medio ambiente, manera cups, forki di plastic, tayonan, styrofoam box, straw di plastic y mas	This as stated in the National Decree that it should be effective near the end of 2020, prohibiting the basic products that impacts our environment and health considerably like plastic cups, utensils, plastic plates, Styrofoam boxes, plastic straws and many other products
Oxybenzone como un ingrediente presente den sunblock tin gran efecto negativo riba nos bida marino, specialmente nos coralnan	Oxybenzone as component in sunblock, is hazardous to the marine life specifically the corals
Mester aplaudi iniciativanan local manera Aruba Aloe y Aruba Life Organics cu ta companianan local cu ta produci productonan alternativa manera e sunblock cu ta organico	The government applauds local incentives by Aruba Aloe and Aruba Life Organics producing alternative products like organic sunblock
Proximamente lo traha hunto cu comercio pa mira e alternativanan cu por crea pa e productonan aki	Following the law, the Government will work together with companies to find alternatives for the creation of these ecofriendly products
Dunando tur persona e tempo necesario pa haci nan adaptacion y forma di opera pa por cumpli cu ley	A transition period is in place in order to provide everybody with proper time for the conversion to alternative products
Lo publica e lista di productonan cu primordialmente lo prohibi den medionan di comunicacion	The list with the prohibited products will be published soon
Dialuna 9 di december ta e ultimo dia pa entrega e declaracion definitivo di winstbelasting 2018 y haci e pago corespondiente	Deadline for filing and paying profit tax 2018 is December 9, 2019
Dialuna, dia 9 di december 2019, ta e ultimo dia cu por entrega e declaracion definitivo di winstbelasting 2018 y haci e pago corespondiente	The Tax Office announces that Monday, December 9, 2019 is the deadline for filing the tax return and paying the income tax due 2018
Cobransa adicional	Additional tax
Clientenan cu no cumpli cu entregamento di e declaracion definitivo, lo haya un cobransa adicional esta un ‘naheffingsaanslag’ inclui boet	If you do not submit and pay the tax return form or the provisional tax return form, you can receive a supplementary tax assessment with a fine
Mescos ta conta si acaso e cliente a paga un suma menos cu locual el a declara na winstbelasting	This is also the case if a customer pays an amount that is less than what is stated on the tax return form
E boet pa no cumpli cu entregamento di e declaracion ta maximo AWG. 2.500,00	The default penalty for non-submission of the tax return form is a maximum of Awg. 2,500,00
Si no haci e pago di winstbelasting of no haci e pago na corectamente, e boet ta maximo AWG. 10.000,00	If no profit tax is paid or an incorrect declaration is filed, the fine can increase to Awg. 10,000.00
Departamento di Impuesto ta haci un apelacion na su clientenan di winstbelasting y/of nan consehero pa tene bon cuenta cu e fecha final di 9 di december 2019 y no warda te na ultimo pa entrega e declaracion	The Tax Office urges its customers and / or advisors or to take into account the latest date of December 9, 2019 and not to wait until the last moment to submit the tax return form
Invitacion na pueblo en general y particularmente nos hobennan pa bishita nos Museo Arkeologico	The National Archeology Museum of Aruba is inviting everyone to visit their renovated museum
Minister di Cultura, Xiomara Ruiz-Maduro y Museo Arkeologico Nacional di Aruba (MANA) ta invita pueblo en general y turistanan pa pasa bishita e museo cu a haci su reapertura recientemente	The Minister of Culture, Xiomara Ruiz-Maduro together with the National Archeology Museum (MANA) are extending an invitation to the community and tourists to visit the recently re-opened museum
MANA ta contribui grandemente na conscientisacion di nos cultura y tin un contribuccion balioso na educacion	MANA is an important contributor to the education of our culture and history
E exposicion permanente tin mas cu 10.000 artefacto di historia di Aruba	The new permanent exposition counts more than 10.000 historical artifacts of Aruba
E hobennan ta cera conoci cu e coleccion grandi di varios artefacto cu tabata ser uza den pasado, e manera di biba y e parti spiritual di nos antepasadonan	Visitors can explore the great collection, a variety of findings belonging to our past, but also about the spiritual and daily lives of our ancestors
Actualmente MANA ta hospeda e exposicion internacional temporario ‘Lasonan Caribeño’ hendenan conecta antes y awor, cu ta habri te october 2020	Currently, the MANA is hosting a temporary international exposition ‘Lasonan Caribeño’ connecting people in the past and present that will be available until October 2020
MANA su personal ta traha cu hopi dedicacion pa conscientisa e balor y importancia di e herencia arqueologico di Aruba	The personnel at MANA have worked with dedication to better educate visitors about the value and importance of the archeologic heritage of Aruba
MANA ta organisa entre otro tour y programanan educacional pa nos hobennan tocante nos herencia cultural arqueologico	The MANA organizes tours and educational programs for students about the cultural archeological heritage
MANA ta conserva nos herencia cultural y ta siña nos di unda nos ta bini y ken nos ta	MANA preserves our cultural heritage educates about where we came from and who we are
Entrada ta gratis	Admission is completely free
Departamento di Enseñansa  ta anuncia cu su oficina principal lo ta cera diabierna 22 di november 2019	Department of Education closed to the public on November 22, 2019
Departamento di Enseñansa Aruba ta informa cu su oficina principal ubica na Frankrijkstraat lo ta cera diabierna 22 di november 2019 en conexion cu mantencion	The Department of Education announces that its headquarters in Frankrijkstraat will be closed on Friday, November 22, 2019 due to maintenance work
Desde 16 di december 2019 ta cuminsa acepta pago di impuesto di vehiculo di motor 2020	Payment for motor vehicle tax 2020 on December 16, 2019
Dia 16 di december 2019 proximo, Departamento di Impuesto ta cuminsa acepta pago di impuesto di vehiculo di motor di aña 2020	The Tax Office announces that customers can pay their motor vehicle tax for the year 2020 starting Monday December 16, 2019
E clientenan cu tin un number di e categorianan A, TX, DT, B, O, MFA of V por scoge pa paga e impuesto den un of dos biaha	You can pay your motor vehicle tax (A, TX, DT, B, O, MFA or V plates) in two equal installments, per half year, or in one installment
E clientenan cu tin number personalisa y e motociclistanan mester paga e impuesto den un solo biaha	If you own a personalized license plate or a motorcycle, you must pay the motor vehicle tax in one installment
Ta importante pa menciona cu e tarifa di impuesto 2020 a keda mescos	The rate for 2020 remains unchanged
Alabes, ta bon pa tene na cuenta cu no ta posibel pa paga e impuesto di aña 2020 si no a paga e impuesto y boet di e aña aki y e aña nan anterior	Keep in mind that it is not possible to pay motor vehicle tax for 2020 if you have not paid your arrears this year or previous years
Por sigui tur informacion di Departamento di Impuesto riba e pagina di Facebook	For more information follow the Facebook page of the Departamento di Impuesto
Hotel 5 strea Secrets Baby Beach Resorts na San Nicolas ta bira realidad	The 5-star hotel Secrets Baby Beach Resorts in Aruba becomes a reality
Diahuebs atardi 14 di November 2019 a tuma luga na Baby Beach Aruba na San Nicolas ponemento simbolico di e prome piedra di e hotel 5 strea Secrets Baby Beach Resorts	On Thursday, November 14, 2019, the groundbreaking ceremony of the Secret Baby Beach Resort in San Nicolas took place
Secrets Baby Beach Aruba, un hotel di 600 camber ta planea pa keda cla na final di 2021, segun e compania a duna di conoce	The 600 rooms Secrets Baby Beach Aruba is scheduled to open in the fourth quarter of 2021, according to a statement from the company
E lo ta e prome hotel di Apple Leisure Group’s na Aruba situa na Baby Beach, San Nicolas	It will be Apple Leisure Group’s first-ever resort in Aruba located on Baby Beach, in proximity to San Nicolas
E Secrets Baby Beach Aruba lo inclui tur e elementonan di e hotel all inclusive, cu ta inclui cena sin mester di reservacion, room service 24 ora pa dia y entretenimento nocturno	The adults-only, all-inclusive Secrets Baby Beach Aruba will include all of the all-inclusive brand’s signatures, from reservation-free gourmet a la carte dining to 24-hour room service to nighttime entertainment
E ta encera un desaroyo hopi importante pa San Nicolas, e capital cultural di Aruba	It is a particularly significant development for San Nicolas, which is considered Aruba’s cultural capital
Prome Minister di Aruba, mr. Evelyn Wever Croes a gradici den nomber di henter e comunidad di Aruba Martinon Group and AM resorts y henter San Nicolas y vencidario pa kere y sostene e proyecto aki	The Prime Minister of Aruba, Evelyn Wever Croes, on behalf of the Aruban community, expressed her gratitude to the Aruba Martinon Group and AM resorts, San Nicolas and its surroundings for their support for this project
Entrante 20 di november 2019 Oficina di Scolnan Publico ta cera tur diaranson	Starting November 20, 2019 Department of Public Schools will close on Wednesdays
Oficina di Scolnan Publico (DPS) ta informa cu nan oficina lo ta cera tur diaranson entrante 20 di november 2019	The Department of Public Schools (DPS) announces that its office will be closed on Wednesdays starting November 20, 2019
Esaki ta en conexion cu	This is in connection with
Actualisacion di data	the updating of data
digitalisacion administrativo	the digitization of the administration
asunto interno	internal affairs
mudanza denter di poco	an upcoming move
DPS lo ta habri tur otro dia na su orario normal	DPS will be open on all other days as usual
Den caso di emergencia por e-mail DPS na info@dps.aw	In case of emergency you can reach the DPS by e-mail via info@dps.aw
Entrante dialuna 18 di november 2019 tin cambio den e condicionnan di pago pa e clientenan di DIMAS	Changes in payment conditions for DIMAS clients starting Monday, November 18, 2019
Departamento di Impuesto ta anuncia cu entrante dialuna awor, dia 18 di november 2019, lo tin cambio den e condicionnan di pago pa e clientenan di DIMAS cu mester haci pago di por ehempel gasto administrativo (retributies), gasto pa permiso (leges) y/of suma di deposito 	The Tax Office announces that starting Monday, November 18, 2019, there will be changes in the payment conditions for DIMAS clients who have to pay for example administrative costs (retributies), permit fee (leges) and/or deposit
Alabes ta importante pa tuma nota di e sitionan unda por haci pago	It is also important to take notice of the locations where payments can be made
E siguiente condicionnan di pago ta aplicabel pa e clientenan di DIMAS	The following conditions are applicable for DIMAS clients
Entrante 18 di november e servicio di caha ubica na oficina di DIMAS no lo ta den operacion mas	Starting November 18, 2019, cash register service at the DIMAS office will cease its operation
Departamento di Impuesto ta haci un apelacion na tur cliente di DIMAS pa tuma bon nota di e cambionan menciona	The Tax office urges all DIMAS clients to take notice of these changes
Departamento di Impuesto ta start e campaña pa yena papel di belasting 2018	The Tax Office will assist in the filing of income tax forms 2018
Departamento di Impuesto ta informa su clientenan cu dialuna 18 di november 2019 campaña pa yena e formulario di declaracion di inkomstenbelasting 2018 ta start	The Tax office informs its clients that the campaign to get assistance with the filing of their income tax forms for 2018, will start on Monday, November 18, 2019
E clientenan cu tin dificultad pa yena e formulario por acudi libremente na un di e sitionan unda e personal di Departamento di Impuesto lo ta cla pa brinda ayudo 	Clients who have problems with the filing of their income tax forms can get assistance from the Tax office assistants at various locations
no tin mester di haci un cita	It is not necessary to make an appointment for this purpose
Kendenan por participa	Who can participate
Tur persona soltero cu tin un entrada bruto di no mas cu Afl. 75.000,-	unmarried persons whose gross income does not exceed 75.000,00 florins
Tur persona casa cu hunto tin entrada bruto di no mas cu Afl. 150.000,-	married couples with a combined gross income not exceeding 150.000,00 florins per year
No por brinda ayudo na esnan cu tin un empresa propio of cu ta traha riba nan mes	This assistance is not intended for clients with their own business or who are self-employed
Trece documento	Documents needed
Departamento di Impuesto ta pidi su clientenan pa trece e formulario di declaracion di aña 2018 hunto cu tur comprobante necesario relaciona cu entrada y gasto, tanto na Aruba como den exterior	The Tax office requests its clients to bring the income tax form for 2018 together with the needed documents regarding income and expenses, in Aruba and abroad
Alabes ta importante pa duna e datonan personal di e pareha casa y e yiunan	It is also important to take with you personal information on the husband as well as the wife and children
Despues cu caba di yena e declaracion e cliente por entrega esaki mesora y lo ricibi un comprobante	After completing the income tax form, it can be delivered immediately and you will get a receipt
E ultimo dia pa entrega e declaracion di inkomstenbelasting 2018 ta 9 di december 2019	The deadline for submitting the tax return is December 9, 2019
Despues di e fecha aki no lo duna mas prolongacion di termino	After this date an extension is no longer possible
Dia Internacional di Derecho di Mucha	International day of Children's Rights
20 di November, ta un dia importante, riba cual mundo ta conmemora e adopcion di e Declaracion Universal di e Derechonan di Mucha na aña 1959	November 20 marks an important day as the world commemorates the adaptation of the Universal Declaration of Children’s rights in 1959
Den e calendario di actividad por haya mas informacion tocante e eventonan cu lo tuma luga durante siman pa conmemora e dia importante aki	In the activities calendar you will find more information over the activities to be held during the children’s week to honor this special day
E Tratado aki ta stipula un cantidad di derecho, cu ta inclui aspectonan di salud, enseñansa, recreacion, como tambe e bida familiar, proteccion contra violencia y discriminacion y cada mucha nan derecho pa nan opinion wordo scucha	This treaty gives the children some fundamental rights; including the right to healthcare, education, recreation, a home, protection against violence and discrimination and the right to be heard
Na aña 2001 Aruba tambe a firma e Tratado aki, haciendo asina e compromiso pa proteha di un forma mas completo posibel e desaroyo di e mucha den su personalidad, talento, capacidad emocional, mental y fisico	In 2001 this treaty was also signed by the Aruba government, committing to the right for each child to develop their personality, talent, emotional capacity, and mental and physical development
Tin varios desaroyonan positivo cu a tuma luga caba, pero ainda tin espacio pa mehoracion	Lots have been done already but there still is a long way to go
Presupuesto 2020 cu surplus di 29 miyon, 0.5%	Budget 2020 with surplus of 29 million, 0.5%
Gobierno di Aruba a informa riba 11 di november 2019 cu a finalisa e presupuesto 2020, cu e surplus palabra cu Hulanda di 0.5% of 29 miyon florin	The government of Aruba announced on November 11, 2019 that the budget for 2020 has finally been finalized, with the surplus of 0.5% or 29 million florins as agreed with the Netherlands
Tambe a logra e norma pa loke ta trata personal di gobierno di Afl. 475 miyon	Also the personnel standard of Afl. 476 million has been reached
Minister di Finansas, Asunto Economico y Cultura a splica den linea general con e presupuesto ta hinca den otro y a duna di conoce cu Aruba ainda no a sali for di e crisis, pero cu ta riba bon caminda	The Minister of Finance, Economic Affairs and Culture explained the general outline of the budget, and stated that Aruba is not yet out of the crisis, but is well on its way to achieving it
Tambe e Minister a indica cu no a fiha e presupuesto segun planeamento, pero si segun e fecha stipula di 15 december 2019 duna pa ley.	When asked, she indicated that although the budget is not fully in line with planning, the government is acting within the legally set deadline of December 15, 2019
Segun Laft, pa no mas tarda cu 15 december 2019, mester por tin un bista riba e presupuesto y den todo caso lo logra esaki	According to the Laft, at least on December 15 there should be a view of a budget and that will certainly work out
A logra baha deficit di pasado di te cu 300 miyon te cu e prome surplus den hopi aña	Large deficits in the past, up to 300 million florins, have now been reduced to a first surplus in years
Ta aspira di por entrega e presupuesto mas pronto cu ta posibel na parlamento	The aim is to submit the budget to Parliament as soon as possible
Recordatorio campaña di vacunacion contra Influenza	Reminder Influenza shot for persons 60+ years of age
Departamento di Salud Publico ta informa campaña di vacunacion contra Influenza a cuminsa y ta haci un yamada na e grupo di risico pa pasa busca nan vacuna completamente gratis na un di e localidadnan cu mas ta combiniente	The Department of Public Health wishes to inform people over 60 about their vaccination campaigns and calls on all people over 60 to receive a flu shot free of charge at nearby locations in their neighborhood
Manera Departamento di Salud Publico a anuncia anteriormente e vacuna di Influenza pa temporada 2019/2020 ta disponibel na seccion di Malesanan Infeccioso situa na Avicena straat# 1 Oranjestad	As previously announced, the flu vaccination for the 2019-2020 season is available at the section of infectious diseases located at the Avicena Street #1 in Oranjestad
Na e localidadnan aki lo vacuna personanan na risico cu presenta cu nan recept di doctor di cas y nan carnet di AZV	At risk persons should bring their AZV card and a doctor’s prescription
Adultonan mayor di 60 aña mester presenta solamente cu nan carnet di AZV valido	persons 60+ years of age should only bring their valid AZV card
Recordatorio pa inscribi e ranchonan na costa y riba rif	Reminder registration fishermen's cabins
Despues cu a anuncia e maneho nobo di e regulacion di casitanan crioyo, miho conoci como rancho na costa y riba rif rond di Aruba, mas o menos 90 persona a registra nan rancho na Departamento di Infrastructura y Planning (DIP)	After the announcement of the new policy for the regulation of fishermen's cabins along the coast and on the reef islands around Aruba, about 90 people have registered their fishermen's cabins with the Infrastructure and Planning Directorate (DIP)
DIP kier recorda tur persona cu ainda no a registra nan rancho, pa haci esaki ainda	DIP reminds the owners who have not yet registered their fishing hut to do so
Control y vigilancia	To control and monitor
E ta necesario pa regula loke ta pasando cu e casitanan aki pa cual ningun hende ta para responsabel	It is important to know what is happening with these shacks to make users accountable for their actions
Hopi biaha tin hopi sushi rond di nan, ilegalidad y acto inmoral ta tuma luga den nan	On many occasions, these shacks and surroundings are left filthy, are being used for illegal activities and immoral acts
Cu e proceso cu ta cuminsa cu ne, esnan cu ta acepta cu e casita ta di nan lo haya un permiso pa esaki y lo mester para responsabel pe tambe	With the policy changes, those claiming to own these shacks need to acknowledge this in writing and will obtain the permits for this, but will be held accountable
Pa evita cu e cantidad ta sigui aumenta	To avoid the increase of shacks being build
Cu e maneho nobo, no ta permiti pa construi mas di e casitanan aki	With the new policy, it is no longer allowed to build any new shack
Tampoco ta permiti pa amplia e casitanan existente	Expansion of existing shacks is not allowed
Gobierno ta duna 2 luna pa esun responsabel registra na DIP	The Government is providing owners with 2 months to register their shacks at the DIP
Ta permiti solamente pa persona registra (no negoshi)	Registration is only valid for registered residents and not for businesses
Den cuadro di e ROPV cu ta den tratamento, e aspecto di regulacion di tereno ta hopi importante	In connection with ROPV that is currently being processed, the regulation of land is very important
Gobierno ta reconoce cu e casitanan aki tin balor tradicional cultural, p’esey e maneho lo percura pa esnan cu tey sigui existi, pero teniendo na cuenta e aspecto sostenibel tambe cual Gobierno ta para pe	The Government is aware of the traditional cultural value of these shacks, and that is the reason it’s allowing the existing shacks, but keeping in mind that the Government also stands for sustainability
Orario di servicio di Abattoir pa temporada di december 2019	December opening hours Abattoir
Veterinario di Departamento di Salud Publico kier recorda tur persona cu tin plania di sacrifica un cabrito, carne of porco pa consumo humano, cu mester haci esaki na Abattoir segun nos leynan	The Department of Public Health’s veterinarian wants to remind all who are planning the slaughter of goats, sheep or pigs in December for human consumption, that this has to be done at the slaughterhouse as stated by law
Matamento di bestia na cas ta ilegal y por tin su riesgo pa salud di hende	At home slaughtering of goats, sheep or pigs is illegal and also poses a risk for humans
ultimo dia pa mata bestia lo ta diamars 17 di December 2019	Last slaughtering date is December 17, 2019
Dia Mundial di Diabetes 14 november	World Diabetes day November 14
Recientemente Plataforma Promocion di Salud cu ta conta cu participacion di DVG, SVb, WGK, IBiSA, IMSan, HOH y AZV a trece na comunidad di Aruba informacion pa loke ta Dia Mundial di Diabetes cu ta conmemora durante henter luna di November	Recently the Platform for Health Promotion, consisting of DVG, SVB, WGK, IBISA, IMSan, HOH and AZV, highlighted the reason for a World Diabetes day; promoting awareness through November
Na 1991 Federacion Internacional di Diabetes conhuntamente cu WHO a crea Dia Mundial di Diabetes cu e meta pa hisa conscientisacion den comunidad di e menasa pa salud cu e malesa di diabetes ta trece cu ne	World Diabetes Day was created in 1991 by the International Diabetes Federation and the WHO in response to growing concerns about the escalating health threat posed by diabetes
E tema di e dia Mundial di e aña aki ta Famia y Diabetes	The theme for World Diabetes Day 2019 is Family and Diabetes
Descubri diabetes	Discover diabetes
Preveni diabetes tipo 2	Prevent type 2 diabetes
Maneha diabetes	Manage diabetes
Riba e website di International Diabetes Federation por haya mas informacion riba e 3 aspectonan aki	More information on these 3 aspects can be found on the International Diabetes Federation’s website
Na Aruba un total di 8.642 persona a haya tratamento pa e malesa di diabetes den aña 2018	In 2018 a total of 8.642 patients have been treated for diabetes in Aruba
Plataforma Promotion di Salud ta urgi famianan ta siña mas tocante e señalnan di alerta cu Diabetes ta duna	The Platform for Health Promotion urges families to learn more about the warning signs of Diabetes
Door di no trata of maneha diabetes e malesa por conduci na consecuencia serio di salud pa bida largo	Left untreated or unmanaged, diabetes can lead to life-changing complications
Cieguedad	Blindness
amputacion	Amputation
problema di riñon	Kidney failure
ataca di curason	Heart attack
atake celebral	stroke
Por tuma nota di tur e actividadnan aki riba e Facebook page di IBISA	IBISA will be announcing these activities on their Facebook page
Tambe lo bay tin un link ”sa bo riesgo.com” unda comunidad por subi y test nan mes y sa nan riesgo pa desaroya diabetes tipo 2	There will also be a link available to “know your risks”, an online quiz to know your risks of developing type 2 Diabetes
Reapertura di Museo Archeologico Nacional di Aruba	Reopening Archeology Museum Aruba
Recientementa a gobernador di Aruba y Minister di Finansa, Asunto Economico y Cultura a efectua apertura di Museo Archeologico Nacional di Aruba	Recently the Governor of Aruba and Minister of Finance, Economic Affairs, and Culture reopened the recently renovated Archeology Museum Aruba
Minister di Cultura Sra. Xiomara Ruiz-Maduro a repasa e historia di desaroyo arkeologico na Aruba y a anuncia cu ta trahando riba un fundacion autonomo pa MANA y cu pronto Aruba tin un Maneho di Museo	The history of the Museum was recollected by Minister Xiomara Ruiz-Maduro who looked back at the archeological development in Aruba and announced she is working on an autonomous foundation for the MANA, and soon Aruba will have museum management
E nomber Daçato ta un combinacion di e palabranan Caiquetio ‘Dato’ pa e dader y ‘Maçato’ pa un bebida alcoholico	Daçato is a combination of the Caiquetio name “Dato” for dates and ‘Maçato’, an alcoholic beverage
Na Aruba tin hopi tradicion y un di nan ta pa ‘basha betro pa e spirito’	Aruba is known for many traditions, one being the “pouring off a drink for the spirits”
Durante e acto di reapertura a honra e spirito di nos antepasadonan na momento cu nos Gobernador hunto cu Minister a basha e ‘‘Daçato’ cu tabata den un calbas pa e spiritonan di nos antepasadonan	During the reopening ceremony, the spirits of our ancestors were honored when the Governor and Minister poured the Daçato that was in the calabash shell of our ancestors
Asina a haci e apertura simbolicamente di e exposicion permanente di Museo Arkeologico Nacional di Aruba	This concluded what is the new permanent exposition of the National Archeology Museum
Despues arkeologo Sr. Raymundo Dijkhoff a duna un guia den e sala di exposicion permanente na Gobernador di Aruba Sr. Alfonso Boekhoudt, Minister Presidente di Aruba Sra Evelina Wever-Croes, Minister di Cultura Sra. Xiomara Ruiz-Maduro hunto cu otro Minister y miembro di Parlamento cu tabata presente	The first exposition tour was given by archaeologist Raymundo Dijkhoff, who guided Governor Boekhoudt, Prime Minister Wever-Croes and Minister Ruiz-Maduro among other Ministers and Members of Parliament
Gobierno ta yama un danki special na Tourism Product Enhancement Fund (TPEF) pa nan contribucion pa por a haci MANA operacional atrobe	The Government is very grateful for the contribution of the Tourism Product Enhancement Fund (TPEF) in making MANA operational again
Dienst Warenkeuring en Hygiene lo ta cera pa publico dialuna mainta 11 di November 2019	Department of Goods Inspection and Hygiene closed half day on November 11, 2019
Departamento di Salud Public ta informa cu Dienst Warenkeuring en Hygiene ta cera dialuna mainta 11 di november 2019 debi na trabounan di mantencion riba nan sistema computarisa	The Department for Public Health hereby announces that the Department of Goods Inspection and Hygiene which falls under its responsibility will be closed to the public on Monday November 11, 2019, due to maintenance work on its computer network
Nan ta reanuda nan servicio publico dialuna dia 11 di November 2019 parti atardi di 1:00 pm	They will resume their activities on November 11, 2019 from 1:00 p.m
Vacuna di influenza pa temporada 2019/2020 ta disponibel na servicio di Malesanan Infeccioso	New Influenza vaccination for 2019/2020 available
Bou di grupo di riesgo ta referi na e personanan cu ta na risico pa desaroya complicacion grave manera bronkitis y pulmonia pa motibo di griep	The higher risk group consists of anyone susceptible to flu-related complications like bronchitis and or pneumonia
E personanan aki ta hende grandi riba 60 aña, mucha bou di 2 aña, personanan cu ta sufri di malesanan cronico of malesa di nan sistema respiratorio	This includes children under the age of 2, adults 60 years or above, and people in between who have certain chronic medical conditions
Tambe persona obeso, na estado of cu tin un sistema inmunologico abou door di malesa, manera cancer y HIV	The flu shot is also recommended for obese, pregnant or anyone with a low immune system due to cancer or HIV
Influenza ta un infeccion viral cu ta afecta principalmente nos nanishi, garganta y pulmon	Influenza is a viral infection that attacks your respiratory system — your nose, throat, and lungs
Keintura	Fever
dolor di musculo	aching muscles
dolor di cabes	Headache
calafriu y sodamento	chills and sweats
tos seco y cu ta persisti	dry, persistent cough
dolor di garganta y rinitis	sore throat or rhinitis
Esnan cu ta cay bou e grupo di riesgo por pasa busca nan vacuna completamente gratis cu nan carnet di AZV y un recept di nan docter di cas	The at-risk patients can receive the vaccination by bringing their AZV card in combination with their doctor’s prescription 
Adulto riba 60 aña por haya e vacuna completamente gratis presentando solamente cu nan carnet AZV	60+ adults will receive their vaccination for free by showing their AZV card
esnan cu no ta cay bou e grupo di risico pero kier e vacuna por haya esaki na un balor di Afl 20,-	Any person not in the at-risk group can receive their flu shot paying Afl. 20,-
Orario pa vacuna ta di dialuna pa diabierna for di 7:45 – 11:45 y 13:15 – 15:30	Vaccination is possible from Monday to Friday from 7:45 – 11:45 and 13:15 – 15:30
Departamento di Salud Publico ta recorda cu e miho manera pa preveni influenza ta door di tene cuenta cu e siguiente medidanan preventivo	The Department of Public Health is reminding everybody that the best way to control the spread of the influenza infection is to prevent by
Vacuna contra influenza	getting the flu vaccination
laba man frecuentemente cu habon	frequently wash hands with soap
Pa mas informacion por tuma contacto cu servicio di Malesanan Infeccioso di Departamento di Salud Publico na 5224200	For more information please contact the section of Infectious Diseases of the Department of Public Health at 5224200
Gobierno di Aruba ta baha e interes di Arubalening na 0%	Aruba student loan interest 0% starting January 2020
Minister di Enseñansa, Desaroyo Duradero y Ciencia, dr. Rudy Lampe a informa di e decision di gobierno pa baha e interes di e Arubalening na 0%	The Minister of Education, Sustainable Development  and Science, dr. Rudy Lampe has announced that the interest rate for Aruba student loan has been reduced to 0%
E ley aki lo ta aplicabel pa esnan cu ya caba tin un acuerdo firma cu Aruba y pa esnan cu ta bay pidi un prestamo den futuro	This 0% rate is applicable to new students who soon will apply for the Aruba student loan as well as students who already have an Aruba student loan agreement
Aruba lo ofrece e fiansa aki na un interes di 0% haciendo esaki mas facil pa nos studiantenan por paga bek una bes nan caba di studia	This should make the Aruba student loan more attractive and help students pay off their loan easily when terminating their education
Gobierno ta spera cu e decision aki por conduci na trece mas profesionalnan Arubano pa bin contribui na e economia di pais Aruba	The Government’s decision should help attract more local professionals to help build a solid economy for Aruba
Watty Vos Boulevard ta habri diamars 5 di november 2019	Watty Vos Boulevard opens on November 5, 2019
Departamento di Obra Publico y Cuerpo Policial di Aruba ta informa cu Watty Vos Boulevard ta habri diamars 5 di november 2019	The Department of Public Works and the Police Department are informing the community that the Watty Vos Blvd will officially open on November 5, 2019
Watty Vos Boulevard ta consisti di	Watty Vos Boulevard consists of
25 km di caminda nobo y renoba cu 13 rotonde nobo	25 km new and renovated roads and 13 roundabouts
25 km di area asigna pa peaton y ciclista por cana y core bicicleta	25 km of pedestrians and bicycle lanes
7 km di caminda nobo di dobbel via, 7 rotonde y dos viaducto for di rotonde di Sabana Blanco pa Punta Brabo, cu ta construi segun standard internacional y cu a haya nan certificacion	7 km double lane roads, 7 new roundabouts, 2 overpass roads from the roundabout between Sabana Blanco and Punta Brabo, build according to international building standards and certified
Watty Vos Boulevard tin 13 rotonde cu ta inclui; enkel baan rotonde, twee baan rotonde, turbo rotonde y paperclip rotonde	Watty Vos Boulevard includes 13 roundabouts, namely single-lane roundabouts, double lane roundabouts, turbo roundabouts and a paperclip roundabout
Pa un y tur por yega nan destinacion sigur y cu e trafico por sigui circula facil riba Watty Vos Boulevard y e camindanan conecta, DOW y KPA ta urgi pa tene bon cuenta cu	To guarantee a smooth and safe traffic flow on the Watty Vos Blvd and connecting roads the DOW and KPA urge drivers to pay attention to the following
Trafico riba e caminda su velocidad ta di 80 kmph	Maximum speed is 80 kph
Ora di yega rotonde mester baha velocidad di 80 kmph pa 60 kmph te cu 40 kmph, manera e borchinan di velocidad ta indica	Reduce speed to 80 kph - 60 kph and 40 kph, upon approaching the roundabouts as indicated by the traffic signs
Paga tino na e borchinan di trafico di duna preferencia, zebrapad y fietspad	Pay attention to the priority signs, pedestrian crossing, and bicycle lane
Anticipa unda bo ta yegando p’asina bo sortia den e baanchi corecto cu ta hibabo den direccion desea	Anticipate where you want to go and change lanes in time to your desired destination
Contrario di crusadanan, unda automobilistanan tin cu duna preferencia na trafico na man drechi, na rotonde trafico tin cu paga tino y duna preferencia na trafico biniendo di banda robes prome cu subi e rotonde	Unlike regular intersections where priority is given to traffic coming from the right, at the roundabouts traffic coming from the left has priority
